species_code,site_code,id,x,y,genus,species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,bio28,bio29,bio30,bio31,bio32,bio33,bio34,bio35,min.minT,max.maxT,aet,pet,aet.pet.ratio,not.hot.precip
LIBI,NEWZ062,5375,175.98,-40.07,Libocedrus,bidwillii,11.22068977,9.050236702,0.470876008,0.01202218,21.5,2.279999971,19.21999931,7.109679222,15.46570015,15.66147995,6.859550953,1480,35.34349823,19.13579941,0.151820496,437.8052063,301.6393127,306.2354126,434.9717102,130.6983032,193.0469971,62.29610062,0.356657207,70.19145966,169.751297,178.5411987,75.77684784,1.139240026,1.25839901,0.987793982,0.071044989,1.238968015,1.036440969,1.036376953,1.235785007,22,215,63.24982154,904,0.069966617,1173.764587
LIBI,NEWZ063,5377,177.2,-38.68,Libocedrus,bidwillii,11.15740967,9.809671402,0.483449399,0.01257411,21.97100067,1.679999948,20.29100037,6.626050949,14.10558987,15.78639984,6.626050949,2000,48.21279907,27.90410042,0.158198103,603.8806763,415.6051025,442.2473145,603.8806763,138.3753052,200.3329926,68.54840088,0.339970112,82.57859802,193.1210938,188.6233978,82.57859802,1.23979497,1.379248977,1.086545944,0.07798481,1.364940047,1.124397993,1.142868996,1.364940047,16,220,71.10913624,887,0.080168136,1557.752686
LIBI,NEWZ064,5362,176.1,-39.63,Libocedrus,bidwillii,9.473586082,9.289888382,0.471028,0.01258262,20.20000076,0.477418989,19.72257996,4.974294186,13.66343021,14.09436035,4.957293987,1440,33.49219894,21.45159912,0.122528598,414.4077148,320.0700073,325.0437012,414.139801,131.6147003,192.9340057,63.75770187,0.348892808,74.52588654,164.7644958,178.5005951,77.17134094,1.133064985,1.23970902,1.017905951,0.060733572,1.220641017,1.05330801,1.053769946,1.219861031,4,202,63.94904992,894,0.071531376,1114.956299
LIBI,NEWZ065,5363,172.6,-41.27,Libocedrus,bidwillii,8.137322426,8.451750755,0.451723695,0.01210841,17.89999962,-0.810000002,18.70999908,4.65316391,12.49137974,12.5408802,3.775136948,2418,55.25370026,27.41500092,0.166919202,698.3425903,454.1130066,456.4168091,683.8850708,131.8336945,197.6929932,61.92480087,0.363090485,100.8983002,177.9761963,182.1092072,75.57801819,1.338413954,1.462800026,1.106695056,0.076999404,1.43909204,1.184149981,1.184149981,1.434129953,-9,179,66.09372103,783,0.084410883,1961.583191
LIBI,NEWZ066,5367,175.73,-39.53,Libocedrus,bidwillii,9.982680321,9.056941032,0.466612101,0.01226891,20.5,1.090000033,19.40999985,5.826529026,13.44717979,14.51066971,5.573050976,1131,25.83049965,15.91349983,0.121268503,319.2420044,236.2848969,255.8018951,315.0237122,130.9174957,193.0650024,62.82479858,0.352428794,70.88951111,152.2471008,178.8016968,76.37700653,1.068600059,1.161260962,0.910395026,0.065201484,1.148995042,0.974461913,0.975671828,1.144763947,10,205,64.3829426,855,0.075301687,875.1981049
LIBI,NEWZ067,5368,172.93,-40.93,Libocedrus,bidwillii,10.97558022,8.748056412,0.459939897,0.01186691,20.5,1.480000019,19.02000046,6.852632046,15.30745029,15.30745029,6.620741844,1843,45.69950104,21.18919945,0.186095193,558.4133911,339.3172913,339.3172913,551.2363892,134.4785004,201.098999,63.79290009,0.360902905,85.70085907,185.1183014,185.1183014,74.70252228,1.213127971,1.352658987,1.025794029,0.08051385,1.325126052,1.072129965,1.07375896,1.322036982,14,205,68.45589309,851,0.080441708,1503.682709
LIBI,NEWZ068,5371,176.12,-39.62,Libocedrus,bidwillii,9.473586082,9.289888382,0.471028,0.01258262,20.20000076,0.477418989,19.72257996,4.974294186,13.66343021,14.09436035,4.957293987,1440,33.49219894,21.45159912,0.122528598,414.4077148,320.0700073,325.0437012,414.139801,131.6147003,192.9340057,63.75770187,0.348892808,74.52588654,164.7644958,178.5005951,77.17134094,1.133064985,1.23970902,1.017905951,0.060733572,1.220641017,1.05330801,1.053769946,1.219861031,4,202,63.94904992,894,0.071531376,1114.956299
LIBI,NEWZ069,5373,176.18,-39.63,Libocedrus,bidwillii,9.17757225,9.381158829,0.470941693,0.01276066,20,0.079999998,19.92000008,4.595880985,13.13061047,13.84920025,4.595880985,1794,42.89910126,26.75429916,0.146692798,534.3934937,391.2948914,395.8308105,534.3934937,131.8825073,192.7700043,64.09899902,0.347578794,77.46307373,186.9940948,178.2873993,77.46307373,1.200831056,1.333451033,1.055678964,0.071714342,1.311854959,1.101053953,1.107828021,1.312216997,0,200,63.73210358,870,0.073255291,1398.169189
LIBI,NEWZ070,5372,172.12,-42.32,Libocedrus,bidwillii,7.136848927,8.517386436,0.452330709,0.0124075,17.10000038,-1.730000019,18.82999992,6.905636787,11.20516014,11.61203957,2.642654896,2771,63.87810135,32.49670029,0.143041998,795.6546021,548.9854736,566.0969238,710.5386963,127.3644028,191.5850067,57.6147995,0.379161298,153.8945007,161.9378052,176.8648987,70.76477051,1.41120398,1.516836047,1.163087964,0.066641718,1.492670059,1.269248009,1.274647951,1.459503055,-18,171,55.15215559,788,0.069990045,2204.903076
LIBI,NEWZ071,5374,174.12,-39.32,Libocedrus,bidwillii,9.942970276,8.09161377,0.451801211,0.01127202,19.60000038,1.690320015,17.90967941,5.913051128,14.13864994,14.13864994,5.913051128,4288.000977,102.5950012,52.28559875,0.189153507,1306.588989,794.8571167,794.8571167,1306.588989,136.2312927,201.0930023,66.43319702,0.348353803,80.97717285,186.0095978,186.0095978,80.97717285,1.701753974,1.935531974,1.356001019,0.1086969,1.915588021,1.447219014,1.448009014,1.915588021,16,196,75.2117838,852,0.088276742,3493.14386
